demand_id,origin_yard_id,dest_yard_id,volume,block_type
1,10115,10023,1274,Intermodal
2,10115,10223,2536,Intermodal
3,10115,10704,5982,Intermodal
4,10115,11012,34997,Intermodal
5,10115,11208,5471,Intermodal
6,10115,10390,752,Intermodal
7,10115,11646,1400,Intermodal
8,10115,11420,1633,Intermodal
9,10115,10448,875,Intermodal
10,10115,10546,2685,Intermodal
11,10115,10539,15790,Intermodal
12,10115,10158,700,Intermodal
13,10115,10650,7450,Intermodal
14,10115,10323,533,Intermodal
15,10115,10133,2878,Intermodal
16,10704,10158,8446,Intermodal
17,10704,10115,29823,Intermodal
18,10704,11012,4601,Intermodal
19,10704,11208,4200,Intermodal
20,10704,10390,350,Intermodal
21,10704,11646,986,Intermodal
22,10704,10539,11998,Intermodal
23,10704,10546,3774,Intermodal
24,10704,10650,2463,Intermodal
25,10704,10023,6079,Intermodal
26,10704,10223,1522,Intermodal
27,10704,11420,2100,Intermodal
28,10704,10163,3042,Intermodal
29,10704,10323,1640,Intermodal
30,10704,11008,761,Intermodal
31,10704,10328,4130,Intermodal
32,10704,10448,6910,Intermodal
33,11208,10158,1174,Intermodal
34,11208,10115,4614,Intermodal
35,11208,10704,4550,Intermodal
36,11208,11012,3744,Intermodal
37,11208,11420,8044,Intermodal
38,11208,10023,21154,Intermodal
39,11208,10539,5268,Intermodal
40,11208,10546,1750,Intermodal
41,11208,10323,350,Intermodal
42,11208,10390,350,Intermodal
43,11208,10223,1086,Intermodal
44,11208,10448,578,Intermodal
45,11208,11488,6570,Intermodal
46,11208,11646,12743,Intermodal
47,11208,11512,5114,Intermodal
48,11208,10650,4251,Intermodal
49,10023,10158,1533,Intermodal
50,10023,11420,3929,Intermodal
51,10023,11646,2484,Intermodal
52,10023,10390,42939,Intermodal
53,10023,10546,2800,Intermodal
54,10023,10539,7944,Intermodal
55,10023,10704,5136,Intermodal
56,10023,10328,2881,Intermodal
57,10023,10223,2753,Intermodal
58,10023,10448,350,Intermodal
59,10023,10163,3391,Intermodal
60,10023,10323,5669,Intermodal
61,10023,11512,1050,Intermodal
62,10023,10650,1239,Intermodal
63,10023,11208,700,Intermodal
64,10023,10115,11408,Intermodal
65,10023,11012,508,Intermodal
66,10023,11008,3919,Intermodal
67,10223,10158,11408,Intermodal
68,10223,10115,760,Intermodal
69,10223,11012,700,Intermodal
70,10223,11208,1326,Intermodal
71,10223,10704,1803,Intermodal
72,10223,11420,350,Intermodal
73,10223,10023,6683,Intermodal
74,10223,10546,9010,Intermodal
75,10223,10539,3059,Intermodal
76,10223,10448,5829,Intermodal
77,10223,10328,1050,Intermodal
78,10223,10163,2711,Intermodal
79,10223,11008,2509,Intermodal
80,10223,10650,502,Intermodal
81,10539,10158,892,Intermodal
82,10539,11646,350,Intermodal
83,10539,10390,350,Intermodal
84,10539,10023,472,Intermodal
85,10539,10546,9789,Intermodal
86,10539,10704,5050,Intermodal
87,10539,10328,4985,Intermodal
88,10539,10223,2704,Intermodal
89,10539,10115,1050,Intermodal
90,10539,11512,350,Intermodal
91,10539,10650,5453,Intermodal
92,10539,10163,13638,Intermodal
93,10539,10323,23529,Intermodal
94,10539,11012,350,Intermodal
95,10539,10448,1865,Intermodal
96,10539,10133,724,Intermodal
97,10539,11420,16960,Intermodal
98,10158,10115,1723,Intermodal
99,10158,11208,1249,Intermodal
100,10158,11012,2448,Intermodal
101,10158,10704,665,Intermodal
102,10158,11646,1638,Intermodal
103,10158,10390,2954,Intermodal
104,10158,10023,2408,Intermodal
105,10158,11420,2558,Intermodal
106,10158,10323,2175,Intermodal
107,10158,10328,1400,Intermodal
108,10158,11512,2252,Intermodal
109,10158,10650,1533,Intermodal
110,10158,10448,350,Intermodal
111,10158,10163,700,Intermodal
112,10158,10546,1060,Intermodal
113,10158,10539,503,Intermodal
114,10158,10223,4909,Intermodal
115,10158,11488,6219,Intermodal
116,10158,10133,23736,Intermodal
117,10158,11008,19203,Intermodal
118,10650,11512,6315,Intermodal
119,10650,11420,1693,Intermodal
120,10650,10158,514,Intermodal
121,10650,10115,4263,Intermodal
122,10650,11012,4056,Intermodal
123,10650,11208,1559,Intermodal
124,10650,10704,920,Intermodal
125,10650,11008,825,Intermodal
126,10650,10546,1861,Intermodal
127,10650,10448,3238,Intermodal
128,10650,10323,487,Intermodal
129,10650,10539,5135,Intermodal
130,10650,10023,8356,Intermodal
131,10650,10390,3096,Intermodal
132,10650,11646,22565,Intermodal
133,10650,10328,9512,Intermodal
134,11512,10650,5457,Intermodal
135,11512,11420,6073,Intermodal
136,11512,10390,350,Intermodal
137,11512,10223,4087,Intermodal
138,11512,10158,2746,Intermodal
139,11512,11208,8740,Intermodal
140,11512,10448,2220,Intermodal
141,11512,11488,3071,Intermodal
142,11512,11646,6141,Intermodal
143,11012,10115,3247,Intermodal
144,11012,11208,2517,Intermodal
145,11012,10704,1175,Intermodal
146,11012,10158,350,Intermodal
147,11012,11646,1698,Intermodal
148,11012,10390,975,Intermodal
149,11012,10023,4244,Intermodal
150,11012,11420,5916,Intermodal
151,11012,10546,25174,Intermodal
152,11012,10539,2992,Intermodal
153,11012,10448,2315,Intermodal
154,11012,11512,1400,Intermodal
155,11012,10650,4277,Intermodal
156,11012,10223,700,Intermodal
157,11012,11008,350,Intermodal
158,11012,10163,33386,Intermodal
159,11012,10328,618,Intermodal
160,10133,10158,1028,Intermodal
161,10133,11488,33911,Intermodal
162,10133,11008,27725,Intermodal
163,10133,10163,986,Intermodal
164,10133,11512,1739,Intermodal
165,10133,10223,1788,Intermodal
166,10133,10704,1401,Intermodal
167,10133,10539,5411,Intermodal
168,10133,10448,9242,Intermodal
169,10133,10390,1258,Intermodal
170,10133,10115,883,Intermodal
171,10133,10650,1448,Intermodal
172,10133,10023,381,Intermodal
173,10133,11420,645,Intermodal
174,11008,10158,9201,Intermodal
175,11008,10133,45094,Intermodal
176,11008,11488,8195,Intermodal
177,11008,10223,843,Intermodal
178,11008,10539,1053,Intermodal
179,11008,10448,424,Intermodal
180,11008,10163,4946,Intermodal
181,11008,11646,1795,Intermodal
182,11008,10323,10911,Intermodal
183,11008,10115,494,Intermodal
184,10390,11208,1066,Intermodal
185,10390,10115,8687,Intermodal
186,10390,10158,1400,Intermodal
187,10390,11012,2496,Intermodal
188,10390,11646,4706,Intermodal
189,10390,11420,4584,Intermodal
190,10390,10023,3850,Intermodal
191,10390,10163,3044,Intermodal
192,10390,10323,909,Intermodal
193,10390,10328,914,Intermodal
194,10390,10546,14173,Intermodal
195,10390,10539,5099,Intermodal
196,10390,10448,10619,Intermodal
197,10390,11512,700,Intermodal
198,10390,10650,13066,Intermodal
199,10390,10223,1400,Intermodal
200,10390,10133,9019,Intermodal
201,11646,10223,1605,Intermodal
202,11646,10023,5250,Intermodal
203,11646,10539,1653,Intermodal
204,11646,10158,1292,Intermodal
205,11646,10390,5250,Intermodal
206,11646,11420,11837,Intermodal
207,11646,10163,4872,Intermodal
208,11646,10323,700,Intermodal
209,11646,10328,1050,Intermodal
210,11646,11012,754,Intermodal
211,11646,10115,6551,Intermodal
212,11646,10704,700,Intermodal
213,11646,10546,10638,Intermodal
214,11646,10448,1797,Intermodal
215,11646,11488,14055,Intermodal
216,11646,11208,12292,Intermodal
217,11646,11512,5370,Intermodal
218,11646,10650,431,Intermodal
219,11646,11008,397,Intermodal
220,11420,10115,2567,Intermodal
221,11420,10704,1395,Intermodal
222,11420,11208,5638,Intermodal
223,11420,10158,1402,Intermodal
224,11420,11012,1510,Intermodal
225,11420,11646,13329,Intermodal
226,11420,10390,6094,Intermodal
227,11420,10023,2540,Intermodal
228,11420,10323,15873,Intermodal
229,11420,10163,1088,Intermodal
230,11420,10328,729,Intermodal
231,11420,10448,11231,Intermodal
232,11420,11512,7773,Intermodal
233,11420,10650,5845,Intermodal
234,11420,10539,1410,Intermodal
235,11420,11488,2453,Intermodal
236,11420,10546,420,Intermodal
237,11420,11008,371,Intermodal
238,11420,10223,4003,Intermodal
239,10163,10158,921,Intermodal
240,10163,10023,5143,Intermodal
241,10163,10390,11148,Intermodal
242,10163,11646,1750,Intermodal
243,10163,11420,737,Intermodal
244,10163,10323,11593,Intermodal
245,10163,10328,3058,Intermodal
246,10163,11512,350,Intermodal
247,10163,10650,7449,Intermodal
248,10163,10223,987,Intermodal
249,10163,10448,10427,Intermodal
250,10163,10133,8955,Intermodal
251,10163,11008,2706,Intermodal
252,10163,10539,3938,Intermodal
253,10163,11012,13200,Intermodal
254,10323,10158,483,Intermodal
255,10323,10023,4504,Intermodal
256,10323,10390,2093,Intermodal
257,10323,11646,2443,Intermodal
258,10323,10163,2869,Intermodal
259,10323,10328,55285,Intermodal
260,10323,11012,350,Intermodal
261,10323,10223,2234,Intermodal
262,10323,10539,1871,Intermodal
263,10323,11008,4746,Intermodal
264,10323,10650,6687,Intermodal
265,10323,10704,600,Intermodal
266,10323,10448,2020,Intermodal
267,10323,10115,3660,Intermodal
268,10323,10546,1397,Intermodal
269,10328,10023,10600,Intermodal
270,10328,10390,17546,Intermodal
271,10328,11646,2368,Intermodal
272,10328,10448,12901,Intermodal
273,10328,11420,840,Intermodal
274,10328,10323,6677,Intermodal
275,10328,10163,2918,Intermodal
276,10328,10223,3221,Intermodal
277,10328,10158,2229,Intermodal
278,10328,10115,530,Intermodal
279,10328,11008,2661,Intermodal
280,10328,10546,3741,Intermodal
281,10328,10650,865,Intermodal
282,10328,11208,10633,Intermodal
283,10328,11012,46252,Intermodal
284,10546,10115,1750,Intermodal
285,10546,10704,58390,Intermodal
286,10546,11208,869,Intermodal
287,10546,10223,2100,Intermodal
288,10546,10539,6170,Intermodal
289,10546,10158,1190,Intermodal
290,10546,11512,1750,Intermodal
291,10546,10650,2507,Intermodal
292,10546,11012,2687,Intermodal
293,10546,10163,700,Intermodal
294,10546,10323,4523,Intermodal
295,10546,10328,1756,Intermodal
296,10546,10448,3492,Intermodal
297,10546,10390,829,Intermodal
298,10546,11008,455,Intermodal
299,10546,11488,1113,Intermodal
300,10448,10115,3346,Intermodal
301,10448,11208,22172,Intermodal
302,10448,10158,3077,Intermodal
303,10448,10163,8146,Intermodal
304,10448,10323,1231,Intermodal
305,10448,10328,545,Intermodal
306,10448,11512,2969,Intermodal
307,10448,10223,3893,Intermodal
308,10448,10539,3894,Intermodal
309,10448,10390,2636,Intermodal
310,10448,11646,384,Intermodal
311,10448,10650,3036,Intermodal
312,10448,10546,1078,Intermodal
313,10448,11420,16758,Intermodal
314,10448,10023,23005,Intermodal
315,11488,10158,39850,Intermodal
316,11488,11008,16804,Intermodal
317,11488,10133,1529,Intermodal
318,11488,10163,573,Intermodal
319,11488,10223,459,Intermodal
320,11488,11208,4381,Intermodal
321,11488,11646,10662,Intermodal
322,11488,11512,2049,Intermodal
323,11488,11420,2352,Intermodal
324,11488,10115,1431,Intermodal
325,11488,10023,436,Intermodal
326,11488,10650,506,Intermodal
327,11751,11727,1586,Intermodal
328,10115,10913,2017,Merchandise
329,10115,11021,1104,Merchandise
330,10115,11022,1050,Merchandise
331,10115,10704,1750,Merchandise
332,10115,11012,2450,Merchandise
333,10115,11208,2450,Merchandise
334,10115,10394,2712,Merchandise
335,10115,10708,1776,Merchandise
336,10115,10778,1585,Merchandise
337,10115,10785,1050,Merchandise
338,10115,10223,700,Merchandise
339,10115,10055,350,Merchandise
340,10115,10101,350,Merchandise
341,10115,10238,488,Merchandise
342,10115,10417,1050,Merchandise
343,10115,10390,350,Merchandise
344,10115,10546,350,Merchandise
345,10115,10539,700,Merchandise
346,10115,10259,700,Merchandise
347,10115,10534,350,Merchandise
348,10115,11670,350,Merchandise
349,10115,11690,350,Merchandise
350,10115,11420,350,Merchandise
351,10115,10378,350,Merchandise
352,10115,10398,350,Merchandise
353,10115,10402,350,Merchandise
354,10115,10426,350,Merchandise
355,10115,10623,350,Merchandise
356,10115,10158,350,Merchandise
357,10704,10913,1446,Merchandise
358,10704,11021,1400,Merchandise
359,10704,11022,1273,Merchandise
360,10704,10023,2450,Merchandise
361,10704,11420,826,Merchandise
362,10704,10115,3191,Merchandise
363,10704,11012,2372,Merchandise
364,10704,10278,1050,Merchandise
365,10704,10394,1285,Merchandise
366,10704,10390,638,Merchandise
367,10704,11208,2218,Merchandise
368,10704,11512,1050,Merchandise
369,10704,10259,1295,Merchandise
370,10704,10650,447,Merchandise
371,10704,10546,1050,Merchandise
372,10704,10539,1050,Merchandise
373,10704,10708,700,Merchandise
374,10704,10775,350,Merchandise
375,10704,10785,567,Merchandise
376,10704,10810,350,Merchandise
377,10704,10534,350,Merchandise
378,10704,11670,350,Merchandise
379,10704,10417,350,Merchandise
380,11208,10913,1400,Merchandise
381,11208,11021,1050,Merchandise
382,11208,11022,759,Merchandise
383,11208,10539,700,Merchandise
384,11208,10546,700,Merchandise
385,11208,10390,486,Merchandise
386,11208,10704,1050,Merchandise
387,11208,10238,350,Merchandise
388,11208,10259,350,Merchandise
389,11208,10785,700,Merchandise
390,11208,10968,556,Merchandise
391,11208,10163,350,Merchandise
392,11208,11646,10066,Merchandise
393,11208,11012,1886,Merchandise
394,11208,10115,1400,Merchandise
395,11208,10394,1050,Merchandise
396,11208,10417,707,Merchandise
397,11208,11420,8591,Merchandise
398,11208,10650,1139,Merchandise
399,11208,10708,712,Merchandise
400,11208,10378,362,Merchandise
401,11208,11512,6355,Merchandise
402,11208,10778,700,Merchandise
403,11208,10223,664,Merchandise
404,11208,10640,350,Merchandise
405,11208,10641,350,Merchandise
406,11208,10707,350,Merchandise
407,11208,10831,350,Merchandise
408,11208,10985,350,Merchandise
409,11208,11099,350,Merchandise
410,11208,11488,4160,Merchandise
411,10259,10913,350,Merchandise
412,10259,10223,350,Merchandise
413,10259,10101,350,Merchandise
414,10259,10238,350,Merchandise
415,10259,10247,350,Merchandise
416,10259,11651,350,Merchandise
417,10259,11670,350,Merchandise
418,10259,11690,350,Merchandise
419,10098,10158,350,Merchandise
420,10098,10116,350,Merchandise
421,10098,10171,350,Merchandise
422,10098,10288,350,Merchandise
423,10130,10158,350,Merchandise
424,10130,10116,700,Merchandise
425,10130,10171,700,Merchandise
426,10130,10098,350,Merchandise
427,10130,10101,635,Merchandise
428,10130,10328,350,Merchandise
429,10130,10223,1050,Merchandise
430,10130,10539,423,Merchandise
431,10130,10055,350,Merchandise
432,10130,10546,350,Merchandise
433,10130,10238,700,Merchandise
434,10130,10259,350,Merchandise
435,10130,10534,350,Merchandise
436,10130,11670,700,Merchandise
437,10130,11690,700,Merchandise
438,10130,11708,350,Merchandise
439,10130,10247,350,Merchandise
440,10130,11651,350,Merchandise
441,10023,10546,1050,Merchandise
442,10023,10539,1050,Merchandise
443,10023,10055,350,Merchandise
444,10023,10129,700,Merchandise
445,10023,10238,487,Merchandise
446,10023,10704,1302,Merchandise
447,10023,11012,2100,Merchandise
448,10023,10115,1149,Merchandise
449,10023,11208,960,Merchandise
450,10023,10394,1050,Merchandise
451,10023,10708,700,Merchandise
452,10023,10778,437,Merchandise
453,10023,10323,771,Merchandise
454,10023,11420,1050,Merchandise
455,10023,10259,350,Merchandise
456,10023,10318,350,Merchandise
457,10023,10534,350,Merchandise
458,10023,11670,350,Merchandise
459,10023,11690,350,Merchandise
460,10023,11708,350,Merchandise
461,10023,11711,350,Merchandise
462,10023,11715,350,Merchandise
463,10023,10163,1050,Merchandise
464,10023,10224,350,Merchandise
465,10023,10285,492,Merchandise
466,10023,10101,350,Merchandise
467,10023,10130,350,Merchandise
468,10023,10247,350,Merchandise
469,10023,11512,1050,Merchandise
470,10023,10650,725,Merchandise
471,10023,10390,1050,Merchandise
472,10023,10242,1050,Merchandise
473,10023,10296,450,Merchandise
474,10023,10304,1050,Merchandise
475,10023,10378,353,Merchandise
476,10023,10448,350,Merchandise
477,10023,11646,350,Merchandise
478,10023,10139,350,Merchandise
479,10023,10333,350,Merchandise
480,10023,10417,350,Merchandise
481,10023,10380,350,Merchandise
482,10023,10398,350,Merchandise
483,10023,10402,350,Merchandise
484,10023,10426,350,Merchandise
485,10023,10623,350,Merchandise
486,10223,10546,2088,Merchandise
487,10223,10704,1833,Merchandise
488,10223,10328,2100,Merchandise
489,10223,10539,2800,Merchandise
490,10223,11208,1556,Merchandise
491,10223,11012,1985,Merchandise
492,10223,10055,350,Merchandise
493,10223,10101,1400,Merchandise
494,10223,10238,1050,Merchandise
495,10223,10247,1400,Merchandise
496,10223,10248,350,Merchandise
497,10223,10318,350,Merchandise
498,10223,11651,984,Merchandise
499,10223,10023,2820,Merchandise
500,10223,10390,1925,Merchandise
501,10223,10323,1057,Merchandise
502,10223,10195,1363,Merchandise
503,10223,10279,1050,Merchandise
504,10223,10324,1050,Merchandise
505,10223,11060,798,Merchandise
506,10223,10259,1750,Merchandise
507,10223,10534,1400,Merchandise
508,10223,11670,1612,Merchandise
509,10223,11690,1400,Merchandise
510,10223,11708,1050,Merchandise
511,10223,11711,1400,Merchandise
512,10223,11715,1050,Merchandise
513,10223,10163,784,Merchandise
514,10223,10139,1294,Merchandise
515,10223,10133,700,Merchandise
516,10223,11008,700,Merchandise
517,10223,10415,583,Merchandise
518,10223,10148,489,Merchandise
519,10223,10115,1400,Merchandise
520,10223,10394,1323,Merchandise
521,10223,10130,700,Merchandise
522,10223,10158,350,Merchandise
523,10223,10171,350,Merchandise
524,10223,10288,350,Merchandise
525,10223,10299,350,Merchandise
526,10223,11457,350,Merchandise
527,10223,11694,700,Merchandise
528,10223,10913,350,Merchandise
529,10223,11021,350,Merchandise
530,10223,11022,350,Merchandise
531,10223,10708,355,Merchandise
532,10223,11646,1050,Merchandise
533,10223,10242,1400,Merchandise
534,10223,10278,840,Merchandise
535,10223,10304,1400,Merchandise
536,10223,10354,384,Merchandise
537,10223,10527,700,Merchandise
538,10223,10573,350,Merchandise
539,10223,10768,350,Merchandise
540,10223,10775,350,Merchandise
541,10223,10810,350,Merchandise
542,10223,10855,350,Merchandise
543,10223,10894,350,Merchandise
544,10223,10956,350,Merchandise
545,10223,10957,350,Merchandise
546,10223,11033,350,Merchandise
547,10223,11073,350,Merchandise
548,10223,11077,350,Merchandise
549,10223,11420,1750,Merchandise
550,10223,11678,350,Merchandise
551,10223,11751,700,Merchandise
552,10223,10448,700,Merchandise
553,10223,10378,863,Merchandise
554,10223,10398,700,Merchandise
555,10223,10224,350,Merchandise
556,10223,10488,350,Merchandise
557,10223,10553,350,Merchandise
558,10223,11512,700,Merchandise
559,10223,10650,700,Merchandise
560,10223,11603,350,Merchandise
561,10223,10417,350,Merchandise
562,10223,10778,350,Merchandise
563,10223,10785,350,Merchandise
564,10223,10831,350,Merchandise
565,10223,10968,350,Merchandise
566,10223,11099,350,Merchandise
567,10223,11031,350,Merchandise
568,10539,10328,350,Merchandise
569,10539,10023,1460,Merchandise
570,10539,10223,1750,Merchandise
571,10539,10913,700,Merchandise
572,10539,11021,639,Merchandise
573,10539,11022,350,Merchandise
574,10539,10704,1750,Merchandise
575,10539,10115,1400,Merchandise
576,10539,11208,862,Merchandise
577,10539,11012,855,Merchandise
578,10539,10394,350,Merchandise
579,10539,11646,350,Merchandise
580,10539,10390,350,Merchandise
581,10539,11420,485,Merchandise
582,10539,10546,700,Merchandise
583,10539,10238,1750,Merchandise
584,10539,10259,996,Merchandise
585,10539,10785,350,Merchandise
586,10539,10968,350,Merchandise
587,10539,11708,350,Merchandise
588,10539,11711,350,Merchandise
589,10539,11512,700,Merchandise
590,10539,10650,587,Merchandise
591,10539,10101,1050,Merchandise
592,10539,10247,1050,Merchandise
593,10539,11651,1050,Merchandise
594,10539,11670,1050,Merchandise
595,10539,11690,774,Merchandise
596,10158,10098,350,Merchandise
597,10158,10130,350,Merchandise
598,10158,10148,350,Merchandise
599,10158,10913,350,Merchandise
600,10158,11021,350,Merchandise
601,10158,10115,350,Merchandise
602,10158,11646,1001,Merchandise
603,10158,10390,498,Merchandise
604,10158,10023,350,Merchandise
605,10158,11420,880,Merchandise
606,10158,10650,1318,Merchandise
607,10158,10448,451,Merchandise
608,10158,10116,350,Merchandise
609,10158,10171,350,Merchandise
610,10158,10181,700,Merchandise
611,10158,10299,350,Merchandise
612,10158,11512,1050,Merchandise
613,10158,11488,700,Merchandise
614,10158,10109,700,Merchandise
615,10158,10125,700,Merchandise
616,10158,10126,669,Merchandise
617,10158,10704,350,Merchandise
618,10158,10223,350,Merchandise
619,10158,10055,752,Merchandise
620,10158,10101,350,Merchandise
621,10158,10238,350,Merchandise
622,10158,10247,350,Merchandise
623,10158,10248,350,Merchandise
624,10158,10318,350,Merchandise
625,10158,11008,350,Merchandise
626,10158,10127,350,Merchandise
627,10158,10163,350,Merchandise
628,10116,10098,350,Merchandise
629,10116,10130,350,Merchandise
630,10116,10171,350,Merchandise
631,10116,10181,350,Merchandise
632,10171,10098,350,Merchandise
633,10171,10130,350,Merchandise
634,10171,10158,350,Merchandise
635,10171,10288,350,Merchandise
636,10171,10299,350,Merchandise
637,10171,10448,350,Merchandise
638,10288,10130,350,Merchandise
639,10148,10130,470,Merchandise
640,10148,10158,700,Merchandise
641,10148,10171,700,Merchandise
642,10148,10913,350,Merchandise
643,10148,11021,350,Merchandise
644,10148,11646,916,Merchandise
645,10148,10390,1050,Merchandise
646,10148,10023,700,Merchandise
647,10148,10026,726,Merchandise
648,10148,10139,350,Merchandise
649,10148,10242,375,Merchandise
650,10148,11420,758,Merchandise
651,10148,10323,1050,Merchandise
652,10148,10328,958,Merchandise
653,10148,10096,700,Merchandise
654,10148,10195,373,Merchandise
655,10148,11012,700,Merchandise
656,10148,10115,350,Merchandise
657,10148,10704,350,Merchandise
658,10148,10546,350,Merchandise
659,10148,10539,494,Merchandise
660,10148,10448,350,Merchandise
661,10148,10163,350,Merchandise
662,10148,10224,350,Merchandise
663,10148,10133,700,Merchandise
664,10148,10101,1050,Merchandise
665,10148,10223,700,Merchandise
666,10148,11008,350,Merchandise
667,10148,10181,712,Merchandise
668,10148,10415,446,Merchandise
669,10148,11694,350,Merchandise
670,10148,10205,350,Merchandise
671,10148,10263,350,Merchandise
672,11694,10130,350,Merchandise
673,11694,11008,350,Merchandise
674,11694,10415,350,Merchandise
675,11694,10148,700,Merchandise
676,11694,10448,350,Merchandise
677,11694,10390,700,Merchandise
678,11694,11420,393,Merchandise
679,11694,10163,502,Merchandise
680,11694,10323,700,Merchandise
681,11694,10224,350,Merchandise
682,11694,10488,350,Merchandise
683,11694,10527,350,Merchandise
684,11694,10553,350,Merchandise
685,11694,11060,700,Merchandise
686,11694,11400,350,Merchandise
687,11694,11678,700,Merchandise
688,11694,10328,1400,Merchandise
689,11694,10023,433,Merchandise
690,11694,10139,350,Merchandise
691,11694,10195,350,Merchandise
692,11694,10242,350,Merchandise
693,11694,10259,350,Merchandise
694,11694,10278,350,Merchandise
695,11694,10279,700,Merchandise
696,11694,10324,543,Merchandise
697,11694,10354,350,Merchandise
698,11694,10573,350,Merchandise
699,11694,10775,350,Merchandise
700,11694,10810,350,Merchandise
701,11694,11031,350,Merchandise
702,11694,11033,350,Merchandise
703,11694,11073,350,Merchandise
704,11694,11428,350,Merchandise
705,11694,11656,350,Merchandise
706,11694,11702,350,Merchandise
707,11694,11703,350,Merchandise
708,11694,11727,350,Merchandise
709,11694,11751,350,Merchandise
710,11694,10133,350,Merchandise
711,11694,10186,350,Merchandise
712,11694,10171,350,Merchandise
713,11694,11012,350,Merchandise
714,11694,10223,350,Merchandise
715,11694,10285,6358,Merchandise
716,10650,11512,4200,Merchandise
717,10650,10032,350,Merchandise
718,10650,10640,3413,Merchandise
719,10650,10641,2429,Merchandise
720,10650,10378,3544,Merchandise
721,10650,11420,1750,Merchandise
722,10650,10398,1400,Merchandise
723,10650,10402,1050,Merchandise
724,10650,11012,700,Merchandise
725,10650,10417,700,Merchandise
726,10650,10707,799,Merchandise
727,10650,10708,350,Merchandise
728,10650,10778,350,Merchandise
729,10650,10831,1529,Merchandise
730,10650,10784,1050,Merchandise
731,10650,10858,700,Merchandise
732,10650,10985,1050,Merchandise
733,11512,10650,11121,Merchandise
734,11512,10032,863,Merchandise
735,11512,10378,5745,Merchandise
736,11512,10380,411,Merchandise
737,11512,10640,6802,Merchandise
738,11512,10641,5158,Merchandise
739,11512,10784,2109,Merchandise
740,11512,11420,8385,Merchandise
741,11512,11646,4103,Merchandise
742,11512,10390,1318,Merchandise
743,11512,10858,1750,Merchandise
744,11512,10985,2800,Merchandise
745,11512,11012,2191,Merchandise
746,11512,10223,1050,Merchandise
747,11512,10101,397,Merchandise
748,11512,10158,1050,Merchandise
749,11512,10023,1050,Merchandise
750,11512,10398,1533,Merchandise
751,11512,10831,2450,Merchandise
752,11512,10402,700,Merchandise
753,11512,10707,1400,Merchandise
754,11512,11099,1050,Merchandise
755,11512,10913,700,Merchandise
756,11512,11021,593,Merchandise
757,11512,11208,5225,Merchandise
758,11512,10115,857,Merchandise
759,11512,10417,831,Merchandise
760,11512,10394,700,Merchandise
761,11512,10242,350,Merchandise
762,11512,10304,350,Merchandise
763,11512,10708,350,Merchandise
764,11512,11488,1359,Merchandise
765,10913,11208,1400,Merchandise
766,10913,10115,1057,Merchandise
767,10913,10704,700,Merchandise
768,10913,11012,1050,Merchandise
